OBJECTID,BLK_SIDE,REGISTEREDNAME,STREETTYPE,QUADRANT,FROMADDRESSLEFTTHEO,TOADDRESSLEFTTHEO,FROMADDRESSRIGHTTHEO,TOADDRESSRIGHTTHEO,BLOCKNUMBER,WARD,BLKSTREET,SHAPELEN,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
358642,B,1ST,ST,NW,5000,5098,5001,5099,5000,4,5000 1ST ST NW,192.925131497592,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358643,AO,CONNECTICUT,AVE,NW,4712,4798,4707,4799,4707,3,4707 CONNECTICUT AVE NW,83.0419322356473,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358644,B,44TH,ST,NW,2800,2810,2801,2811,2800,3,2800 44TH ST NW,134.492005197426,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358645,B,44TH,ST,NW,2812,2898,2813,2899,2800,3,2800 44TH ST NW,91.9929728203963,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358646,O,9TH,ST,NE,1100,1198,1101,1199,1100,6,1100 9TH ST NE,60.720100723351,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358647,AO,CONNECTICUT,AVE,NW,4300,4398,4401,4455,4455,3,4455 CONNECTICUT AVE NW,152.645013727449,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358648,B,TUCKERMAN,ST,NW,1300,1398,1301,1399,1300,4,1300 TUCKERMAN ST NW,323.396007629507,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358649,AO,H,ST,NE,500,598,501,599,519,6,519 H ST NE,92.3601199683523,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358650,B,SIMMS,PL,NE,1200,1298,1201,1299,1200,5,1200 SIMMS PL NE,274.330965264956,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358651,B,RANDOLPH,ST,NW,1200,1298,1201,1299,1200,4,1200 RANDOLPH ST NW,121.671477150705,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358652,AO,PHELPS,PL,NW,1820,1822,1821,1823,1818,2,1818 KALORAMA SQ NW,37.1768761840042,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358653,B,20TH,ST,NE,800,898,801,899,800,5,800 20TH ST NE,242.059353501906,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358654,,7TH,ST,NE,3100,3198,3101,3199,3100,5,3100 7TH ST NE,110.660354291787,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358655,B,4TH,ST,NW,5400,5498,5401,5499,5400,4,5400 4TH ST NW,118.573496512668,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358656,B,ALLISON,ST,NW,740,898,751,899,800,4,800 ALLISON ST NW,149.259530935774,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358657,B,24TH,ST,SE,2312,2398,2301,2399,2300,8,2300 24TH ST SE,231.991370886471,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358658,AO,CONSTITUTION,AVE,NE,700,798,701,799,700,6,700 CONSTITUTION AVE NE,62.2625819564346,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358659,B,EVARTS,ST,NE,400,598,401,599,400,5,400 EVARTS ST NE,184.382225715027,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
358660,O,NORTH CAPITOL,ST,BN,2500,2530,2501,2531,2500,5,2500 NORTH CAPITOL ST NW,119.142361022616,TOA,2018-06-08T17:40:25.000Z,TOA,2018-06-08T17:40:25.000Z
